Name,CreatedDate,Contribution
Person1,2023-01-03,90
Person4,2023-01-14,15
Person1,2023-01-18,7
Person1,2023-01-26,82
Person3,2023-01-10,50
Person1,2023-01-10,78
Person6,2023-01-15,53
Person1,2023-01-11,45
Person2,2023-01-18,97
Person3,2023-01-25,20
Person10,2023-01-10,89
Person5,2023-01-06,78
Person6,2023-01-15,58
Person2,2023-01-18,16
Person2,2023-01-23,89
Person5,2023-01-24,12
Person9,2023-01-08,20
Person9,2023-01-18,48
Person8,2023-01-31,69
Person4,2023-01-07,62
Person5,2023-01-03,74
Person2,2023-01-24,16
Person9,2023-01-07,0
Person6,2023-01-21,51
Person6,2023-01-22,64
Person4,2023-01-26,61
Person4,2023-01-14,73
Person7,2023-01-03,46
Person9,2023-01-31,72
Person2,2023-01-06,63
Person2,2023-01-26,37
Person10,2023-01-19,69
Person1,2023-01-18,51
Person9,2023-01-23,2
Person5,2023-01-13,69
Person6,2023-01-02,15
Person6,2023-01-09,15
Person5,2023-01-10,85
Person6,2023-01-11,47
Person6,2023-01-08,27
Person3,2023-01-20,67
Person6,2023-01-27,90
Person6,2023-01-01,98
Person7,2023-01-02,13
Person8,2023-01-04,16
Person5,2023-01-19,34
Person6,2023-01-04,63
Person9,2023-01-19,86
Person9,2023-01-20,88
Person1,2023-01-02,35
Person2,2023-01-10,48
Person1,2023-01-07,84
Person1,2023-01-25,31
Person9,2023-01-18,86
Person2,2023-01-07,95
Person4,2023-01-04,12
Person4,2023-01-12,52
Person2,2023-01-20,43
Person4,2023-01-25,43
Person9,2023-01-04,4
Person9,2023-01-07,5
Person5,2023-01-01,77
Person9,2023-01-26,97
Person3,2023-01-11,18
Person8,2023-01-25,56
Person4,2023-01-28,25
Person1,2023-01-14,8
Person8,2023-01-21,77
Person8,2023-01-22,64
Person2,2023-01-17,21
Person3,2023-01-16,44
Person2,2023-01-04,45
Person6,2023-01-18,26
Person8,2023-01-10,79
Person7,2023-01-07,31
Person6,2023-01-19,86
Person4,2023-01-06,5
Person4,2023-01-23,21
Person5,2023-01-02,82
Person2,2023-01-23,35
Person3,2023-01-28,85
Person8,2023-01-17,33
Person7,2023-01-23,26
Person7,2023-01-20,95
Person7,2023-01-27,34
Person3,2023-01-16,42
Person9,2023-01-14,0
Person10,2023-01-14,71
Person9,2023-01-21,16
Person10,2023-01-01,66
Person1,2023-01-12,59
Person2,2023-01-26,93
Person9,2023-01-28,44
Person4,2023-01-23,16
Person8,2023-01-15,13
Person9,2023-01-19,93
Person8,2023-01-11,52
Person4,2023-01-07,57
Person6,2023-01-04,52
Person2,2023-01-29,61
Person9,2023-01-09,73
Person3,2023-01-15,63
Person8,2023-01-28,45
Person9,2023-01-10,63
Person7,2023-01-31,34
Person10,2023-01-11,73
Person7,2023-01-05,97
Person1,2023-01-24,53
Person1,2023-01-26,53
Person6,2023-01-15,31
Person10,2023-01-06,97
Person5,2023-01-16,14
Person10,2023-01-20,47
Person1,2023-01-31,63
Person10,2023-01-14,15
Person8,2023-01-26,2
Person9,2023-01-31,31
Person1,2023-01-29,85
Person9,2023-01-08,20
Person8,2023-01-21,59
Person4,2023-01-06,82
Person2,2023-01-09,58
Person5,2023-01-31,82
Person2,2023-01-09,26
Person6,2023-01-11,44
Person2,2023-01-01,9
Person2,2023-01-07,71
Person5,2023-01-25,23
Person6,2023-01-11,62
Person3,2023-01-31,45
Person7,2023-01-10,93
Person3,2023-01-21,98
Person10,2023-01-24,4
Person7,2023-01-17,62
Person5,2023-01-15,89
Person3,2023-01-07,55
Person2,2023-01-17,64
Person10,2023-01-23,28
Person7,2023-01-13,52
Person3,2023-01-28,49
Person2,2023-01-26,81
Person1,2023-01-14,98
Person6,2023-01-23,49
Person5,2023-01-12,85
Person10,2023-01-03,84
Person5,2023-01-13,38
Person2,2023-01-28,23
Person4,2023-01-16,39
Person1,2023-01-25,11
Person6,2023-01-03,55
Person10,2023-01-18,3
Person6,2023-01-16,55
Person2,2023-01-20,74
Person5,2023-01-04,42
Person1,2023-01-14,83
Person10,2023-01-27,11
Person4,2023-01-21,54
Person10,2023-01-17,93
Person10,2023-01-01,65
Person6,2023-01-13,58
Person3,2023-01-09,26
Person6,2023-01-27,36
Person4,2023-01-21,68
Person1,2023-01-17,30
Person6,2023-01-13,0
Person2,2023-01-17,71
Person5,2023-01-27,75
Person5,2023-01-18,78
Person7,2023-01-02,1
Person3,2023-01-21,69
Person3,2023-01-23,15
Person2,2023-01-19,9
Person1,2023-01-06,73
Person3,2023-01-14,7
Person9,2023-01-13,68
Person8,2023-01-24,65
Person10,2023-01-09,85
Person5,2023-01-29,99
Person2,2023-01-17,81
Person4,2023-01-26,55
Person2,2023-01-20,56
Person2,2023-01-17,45
Person3,2023-01-05,48
Person2,2023-01-02,30
Person2,2023-01-21,90
Person6,2023-01-14,61
Person3,2023-01-19,56
Person5,2023-01-31,42
Person9,2023-01-16,62
Person7,2023-01-09,99
Person10,2023-01-31,68
Person4,2023-01-26,73
Person5,2023-01-17,27
Person8,2023-01-19,46
Person8,2023-01-15,45
Person6,2023-01-10,26
Person5,2023-01-23,26
Person3,2023-01-19,72
Person9,2023-01-10,27
Person2,2023-01-14,53
Person10,2023-01-19,73
Person1,2023-01-12,8
Person1,2023-01-21,5
Person5,2023-01-30,85
Person6,2023-01-20,16
Person7,2023-01-01,4
Person8,2023-01-19,47
Person7,2023-01-29,15
Person1,2023-01-02,23
Person9,2023-01-24,52
Person5,2023-01-02,57
Person4,2023-01-29,38
Person5,2023-01-29,72
Person2,2023-01-06,28
Person10,2023-01-31,58
Person6,2023-01-22,69
Person9,2023-01-25,36
Person4,2023-01-04,46
Person3,2023-01-26,93
Person4,2023-01-28,78
Person5,2023-01-20,11
Person2,2023-01-02,85
Person7,2023-01-16,44
Person6,2023-01-12,75
Person10,2023-01-11,77
Person2,2023-01-04,62
Person7,2023-01-20,37
Person8,2023-01-01,48
Person1,2023-01-05,79
Person4,2023-01-04,32
Person1,2023-01-21,19
Person7,2023-01-09,89
Person5,2023-01-24,46
Person6,2023-01-14,51
Person1,2023-01-29,2
Person3,2023-01-15,41
Person8,2023-01-08,81
Person4,2023-01-23,37
Person10,2023-01-23,20
Person3,2023-01-20,21
Person8,2023-01-22,30
Person7,2023-01-28,87
Person9,2023-01-21,68
Person1,2023-01-09,55
Person10,2023-01-20,26
Person3,2023-01-17,65
Person3,2023-01-16,98
Person1,2023-01-05,90
Person10,2023-01-24,37
Person2,2023-01-07,71
Person7,2023-01-08,85
Person6,2023-01-03,77
Person6,2023-01-11,75
Person9,2023-01-18,16
Person7,2023-01-21,19
Person4,2023-01-11,0
Person7,2023-01-03,71
Person2,2023-01-17,75
Person9,2023-01-21,39
Person9,2023-01-03,28
Person5,2023-01-26,68
Person10,2023-01-05,46
Person7,2023-01-26,57
Person7,2023-01-10,1
Person5,2023-01-03,90
Person8,2023-01-08,89
Person10,2023-01-30,20
Person5,2023-01-07,26
Person3,2023-01-28,77
Person3,2023-01-27,89
Person5,2023-01-09,40
Person1,2023-01-28,70
Person5,2023-01-03,86
Person5,2023-01-17,37
Person9,2023-01-19,39
Person5,2023-01-23,22
Person5,2023-01-31,67
Person9,2023-01-09,77
Person7,2023-01-26,9
Person1,2023-01-25,51
Person5,2023-01-21,21
Person9,2023-01-09,1
Person7,2023-01-21,87
Person2,2023-01-05,72
Person5,2023-01-04,1
Person3,2023-01-17,73
Person7,2023-01-11,74
Person6,2023-01-17,86
Person3,2023-01-03,2
Person8,2023-01-06,81
Person1,2023-01-01,63
Person2,2023-01-31,88
Person7,2023-01-23,84
Person2,2023-01-13,53
Person2,2023-01-05,28
Person8,2023-01-22,82
Person6,2023-01-08,62
Person4,2023-01-03,29
Person2,2023-01-31,53
Person8,2023-01-31,7
Person10,2023-01-28,100
Person3,2023-01-14,53
Person7,2023-01-25,73
Person7,2023-01-19,20
Person9,2023-01-18,41
Person5,2023-01-08,0
Person7,2023-01-06,62
Person9,2023-01-17,76
Person3,2023-01-12,11
Person6,2023-01-01,78
Person4,2023-01-23,16
Person3,2023-01-11,66
Person5,2023-01-13,29
Person6,2023-01-26,93
Person9,2023-01-12,22
Person2,2023-01-05,94
Person7,2023-01-11,34
Person3,2023-01-16,44
Person2,2023-01-28,0
Person3,2023-01-05,86
Person3,2023-01-12,3
Person7,2023-01-12,19
Person8,2023-01-29,96
Person4,2023-01-12,24
Person2,2023-01-28,7
Person1,2023-01-01,80
Person8,2023-01-28,13
Person8,2023-01-11,91
Person4,2023-01-12,34
Person2,2023-01-09,38
Person3,2023-01-15,35
Person5,2023-01-31,64
Person3,2023-01-21,96
Person2,2023-01-04,16
Person1,2023-01-17,58
Person4,2023-01-03,57
Person5,2023-01-30,64
Person10,2023-01-22,80
Person1,2023-01-16,29
Person9,2023-01-26,89
Person5,2023-01-03,20
Person7,2023-01-19,30
Person6,2023-01-24,72
Person7,2023-01-21,0
Person6,2023-01-23,96
Person8,2023-01-22,12
Person9,2023-01-17,17
Person5,2023-01-31,78
Person9,2023-01-16,9
Person9,2023-01-27,67
Person6,2023-01-02,54
Person8,2023-01-03,14
Person3,2023-01-29,90
Person4,2023-01-29,55
Person7,2023-01-30,45
Person8,2023-01-22,61
Person8,2023-01-05,4
Person4,2023-01-20,43
Person3,2023-01-22,42
Person5,2023-01-29,83
Person5,2023-01-01,31
Person9,2023-01-17,89
Person6,2023-01-25,37
Person4,2023-01-18,95
Person3,2023-01-25,7
Person2,2023-01-28,44
Person7,2023-01-01,59
Person2,2023-01-09,32
Person10,2023-01-29,41
Person2,2023-01-03,22
Person3,2023-01-07,44
Person1,2023-01-02,22
Person3,2023-01-15,2
Person7,2023-01-20,24
Person1,2023-01-24,74
Person4,2023-01-24,85
Person2,2023-01-16,36
Person7,2023-01-13,79
Person2,2023-01-08,64
Person4,2023-01-10,79
Person5,2023-01-06,36
Person4,2023-01-17,93
Person9,2023-01-15,48
Person1,2023-01-09,84
Person5,2023-01-11,63
Person1,2023-01-13,14
Person8,2023-01-23,84
Person6,2023-01-11,95
Person6,2023-01-03,43
Person2,2023-01-01,96
Person6,2023-01-10,98
Person4,2023-01-19,30
Person9,2023-01-14,59
Person6,2023-01-13,73
Person4,2023-01-16,28
Person10,2023-01-14,27
Person5,2023-01-29,36
Person5,2023-01-07,2
Person9,2023-01-07,76
Person6,2023-01-05,58
Person1,2023-01-20,56
Person6,2023-01-11,4
Person10,2023-01-13,32
Person4,2023-01-10,49
Person4,2023-01-24,100
Person5,2023-01-12,27
Person4,2023-01-31,11
Person7,2023-01-22,0
Person5,2023-01-14,57
Person1,2023-01-19,91
Person3,2023-01-03,59
Person9,2023-01-13,63
Person2,2023-01-05,90
Person8,2023-01-09,69
Person8,2023-01-31,40
Person5,2023-01-29,0
Person5,2023-01-15,93
Person1,2023-01-30,24
Person10,2023-01-15,95
Person3,2023-01-29,40
Person9,2023-01-19,37
Person7,2023-01-04,69
Person1,2023-01-26,1
Person3,2023-01-16,43
Person9,2023-01-16,18
Person5,2023-01-11,89
Person2,2023-01-20,1
Person3,2023-01-31,72
Person1,2023-01-30,95
Person1,2023-01-25,44
Person3,2023-01-03,9
Person7,2023-01-14,26
Person9,2023-01-05,51
Person2,2023-01-18,80
Person4,2023-01-28,33
Person3,2023-01-29,28
Person9,2023-01-16,17
Person5,2023-01-20,92
Person1,2023-01-07,79
Person4,2023-01-17,61
Person5,2023-01-10,82
Person2,2023-01-23,47
Person6,2023-01-21,86
Person9,2023-01-08,25
Person8,2023-01-31,24
Person10,2023-01-20,48
Person9,2023-01-09,15
Person8,2023-01-27,41
Person3,2023-01-14,84
Person6,2023-01-07,42
Person5,2023-01-25,96
Person1,2023-01-10,94
Person3,2023-01-09,5
Person5,2023-01-20,52
Person3,2023-01-12,61
Person6,2023-01-27,32
Person8,2023-01-06,82
Person10,2023-01-12,92
Person8,2023-01-02,12
Person7,2023-01-08,1
Person5,2023-01-26,60
Person1,2023-01-02,90
Person7,2023-01-21,53
Person1,2023-01-18,9
Person7,2023-01-11,13
Person4,2023-01-04,2
Person1,2023-01-13,69
Person4,2023-01-04,80
Person6,2023-01-31,83
Person10,2023-01-06,70
Person5,2023-01-14,67
Person10,2023-01-13,76
Person8,2023-01-26,25
Person2,2023-01-04,96
Person7,2023-01-06,41
Person9,2023-01-23,58
Person4,2023-01-25,55
Person3,2023-01-31,70
Person9,2023-01-23,4
Person4,2023-01-29,41
Person1,2023-01-04,27
Person4,2023-01-27,98
Person8,2023-01-23,54
Person5,2023-01-29,92
Person3,2023-01-15,27
Person5,2023-01-12,54
Person3,2023-01-30,67
Person2,2023-01-10,35
Person2,2023-01-30,97
Person2,2023-01-07,57
Person7,2023-01-26,47
Person4,2023-01-31,39
Person3,2023-01-30,36
Person5,2023-01-13,9
Person3,2023-01-03,46
Person1,2023-01-25,100
Person8,2023-01-14,76
Person7,2023-01-18,75
Person10,2023-01-23,59
Person5,2023-01-12,7
Person9,2023-01-07,58
Person5,2023-01-18,47
Person4,2023-01-15,26
Person9,2023-01-20,7
Person8,2023-01-05,17
Person3,2023-01-25,64
Person3,2023-01-24,45
Person6,2023-01-04,1
Person9,2023-01-29,88
Person9,2023-01-03,69
Person6,2023-01-18,54
Person8,2023-01-26,78
Person8,2023-01-06,20
Person4,2023-01-16,7
Person3,2023-01-21,11
Person7,2023-01-07,98
Person8,2023-01-04,74
Person7,2023-01-03,36
Person3,2023-01-01,90
Person10,2023-01-15,68
Person10,2023-01-27,83
Person4,2023-01-27,15
Person9,2023-01-11,25
Person3,2023-01-22,69
Person6,2023-01-06,7
Person3,2023-01-25,35
Person4,2023-01-25,96
Person5,2023-01-27,49
Person7,2023-01-24,4
Person7,2023-01-03,15
Person3,2023-01-30,4
Person3,2023-01-06,5
Person6,2023-01-15,13
Person7,2023-01-28,10
Person10,2023-01-06,56
Person5,2023-01-12,78
Person9,2023-01-13,81
Person9,2023-01-30,94
Person4,2023-01-15,57
Person1,2023-01-22,11
Person3,2023-01-20,90
Person5,2023-01-11,46
Person1,2023-01-20,15
Person2,2023-01-18,35
Person3,2023-01-06,78
Person7,2023-01-23,50
Person5,2023-01-03,90
Person1,2023-01-01,4
Person6,2023-01-14,92
Person10,2023-01-08,8
Person5,2023-01-01,75
Person6,2023-01-14,7
Person10,2023-01-20,70
Person1,2023-01-27,92
Person10,2023-01-03,33
Person4,2023-01-10,96
Person2,2023-01-27,11
Person10,2023-01-28,90
Person6,2023-01-03,55
Person9,2023-01-22,75
Person1,2023-01-13,83
Person1,2023-01-04,62
Person10,2023-01-22,74
Person5,2023-01-19,98
Person3,2023-01-15,98
Person6,2023-01-04,57
Person8,2023-01-25,54
Person6,2023-01-07,36
Person5,2023-01-03,94
Person7,2023-01-10,23
Person9,2023-01-03,33
Person1,2023-01-19,33
Person5,2023-01-03,46
Person4,2023-01-01,1
Person5,2023-01-15,99
Person8,2023-01-15,80
Person9,2023-01-29,26
Person6,2023-01-17,62
Person6,2023-01-20,0
Person4,2023-01-08,15
Person5,2023-01-21,99
Person2,2023-01-11,39
Person5,2023-01-13,41
Person2,2023-01-10,26
Person8,2023-01-05,36
Person2,2023-01-03,1
Person4,2023-01-06,44
Person9,2023-01-10,43
Person5,2023-01-02,69
Person9,2023-01-01,50
Person4,2023-01-29,93
Person9,2023-01-21,3
Person2,2023-01-23,86
Person4,2023-01-18,20
Person9,2023-01-18,37
Person10,2023-01-16,39
Person2,2023-01-27,53
Person5,2023-01-07,27
Person5,2023-01-02,35
Person8,2023-01-15,51
Person10,2023-01-20,18
Person8,2023-01-03,1
Person7,2023-01-24,28
Person3,2023-01-05,2
Person5,2023-01-20,67
Person6,2023-01-22,15
Person9,2023-01-04,79
Person8,2023-01-17,18
Person4,2023-01-31,25
Person9,2023-01-01,83
Person3,2023-01-24,16
Person6,2023-01-19,98
Person7,2023-01-08,52
Person3,2023-01-19,57
Person7,2023-01-23,19
Person5,2023-01-28,0
Person4,2023-01-10,7
Person7,2023-01-11,80
Person5,2023-01-14,24
Person7,2023-01-22,93
Person6,2023-01-10,33
Person8,2023-01-11,37
Person9,2023-01-25,9
Person2,2023-01-07,83
Person2,2023-01-01,6
Person9,2023-01-02,80
Person2,2023-01-20,28
Person3,2023-01-28,11
Person10,2023-01-07,59
Person9,2023-01-16,95
Person5,2023-01-28,94
Person4,2023-01-04,14
Person3,2023-01-11,45
Person6,2023-01-14,8
Person5,2023-01-07,26
Person1,2023-01-18,55
Person6,2023-01-31,3
Person5,2023-01-13,96
Person10,2023-01-01,10
Person6,2023-01-26,23
Person7,2023-01-11,20
Person4,2023-01-06,88
Person7,2023-01-09,26
Person5,2023-01-24,62
Person5,2023-01-24,49
Person5,2023-01-24,72
Person8,2023-01-15,26
Person9,2023-01-20,23
Person1,2023-01-27,23
Person4,2023-01-10,80
Person1,2023-01-12,87
Person10,2023-01-12,66
Person5,2023-01-23,93
Person6,2023-01-02,25
Person2,2023-01-06,49
Person3,2023-01-14,43
Person4,2023-01-24,70
Person8,2023-01-16,35
Person4,2023-01-27,31
Person5,2023-01-29,62
Person4,2023-01-25,17
Person10,2023-01-29,77
Person10,2023-01-15,60
Person1,2023-01-23,51
Person6,2023-01-13,27
Person8,2023-01-12,51
Person10,2023-01-30,24
Person7,2023-01-30,60
Person4,2023-01-24,40
Person9,2023-01-07,48
Person9,2023-01-28,32
Person1,2023-01-27,30
Person10,2023-01-20,94
Person5,2023-01-29,76
Person4,2023-01-10,79
Person10,2023-01-07,16
Person4,2023-01-03,52
Person2,2023-01-25,81
Person10,2023-01-19,23
Person7,2023-01-18,47
Person8,2023-01-27,14
Person3,2023-01-10,83
Person7,2023-01-19,91
Person8,2023-01-13,7
Person9,2023-01-24,44
Person8,2023-01-24,47
Person1,2023-01-28,7
Person9,2023-01-25,79
Person1,2023-01-10,50
Person3,2023-01-28,45
Person6,2023-01-06,45
Person9,2023-01-27,72
Person7,2023-01-13,31
Person4,2023-01-31,9
Person4,2023-01-21,18
Person4,2023-01-04,11
Person8,2023-01-24,60
Person3,2023-01-01,59
Person8,2023-01-03,26
Person1,2023-01-03,79
Person5,2023-01-11,62
Person9,2023-01-14,53
Person4,2023-01-11,60
Person9,2023-01-18,60
Person3,2023-01-11,27
Person4,2023-01-13,100
Person10,2023-01-28,42
Person9,2023-01-08,73
Person5,2023-01-16,96
Person2,2023-01-03,18
Person8,2023-01-11,39
Person8,2023-01-09,95
Person5,2023-01-14,34
Person5,2023-01-14,87
Person10,2023-01-05,21
Person3,2023-01-30,83
Person7,2023-01-23,56
Person7,2023-01-14,32
Person4,2023-01-31,2
Person6,2023-01-24,94
Person2,2023-01-02,15
Person6,2023-01-28,65
Person3,2023-01-13,58
Person4,2023-01-13,61
Person2,2023-01-17,97
Person5,2023-01-17,93
Person5,2023-01-09,79
Person8,2023-01-01,22
Person9,2023-01-03,13
Person9,2023-01-05,21
Person1,2023-01-25,24
Person10,2023-01-01,33
Person5,2023-01-02,25
Person8,2023-01-07,82
Person8,2023-01-18,12
Person3,2023-01-07,13
Person8,2023-01-01,96
Person2,2023-01-01,14
Person6,2023-01-16,31
Person7,2023-01-03,7
Person8,2023-01-03,86
Person1,2023-01-11,30
Person9,2023-01-06,10
Person6,2023-01-03,9
Person5,2023-01-04,34
Person6,2023-01-25,96
Person6,2023-01-31,23
Person6,2023-01-23,41
Person10,2023-01-17,6
Person6,2023-01-26,18
Person1,2023-01-16,55
Person3,2023-01-12,91
Person9,2023-01-20,72
Person10,2023-01-10,56
Person7,2023-01-02,57
Person3,2023-01-31,29
Person4,2023-01-11,99
Person8,2023-01-30,78
Person8,2023-01-15,23
Person3,2023-01-01,83
Person9,2023-01-26,62
Person3,2023-01-28,0
Person3,2023-01-10,8
Person9,2023-01-26,19
Person2,2023-01-22,0
Person5,2023-01-22,39
Person7,2023-01-18,68
Person4,2023-01-15,52
Person4,2023-01-07,28
Person7,2023-01-05,52
Person1,2023-01-08,26
Person6,2023-01-02,92
Person4,2023-01-15,18
Person10,2023-01-18,32
Person3,2023-01-30,71
Person5,2023-01-20,65
Person9,2023-01-30,63
Person6,2023-01-18,84
Person8,2023-01-05,42
Person7,2023-01-10,95
Person8,2023-01-07,99
Person5,2023-01-09,85
Person5,2023-01-14,19
Person5,2023-01-01,65
Person9,2023-01-03,14
Person6,2023-01-15,82
Person6,2023-01-04,33
Person2,2023-01-20,60
Person3,2023-01-17,92
Person7,2023-01-10,97
Person5,2023-01-08,90
Person2,2023-01-29,20
Person1,2023-01-08,10
Person3,2023-01-07,74
Person2,2023-01-06,6
Person3,2023-01-20,91
Person5,2023-01-24,11
Person9,2023-01-04,7
Person5,2023-01-24,57
Person9,2023-01-31,42
Person3,2023-01-03,18
Person6,2023-01-26,17
Person7,2023-01-29,42
Person1,2023-01-14,20
Person7,2023-01-05,45
Person3,2023-01-24,4
Person6,2023-01-08,52
Person8,2023-01-01,14
Person2,2023-01-27,16
Person5,2023-01-14,43
Person6,2023-01-17,27
Person5,2023-01-07,1
Person4,2023-01-05,62
Person5,2023-01-06,69
Person7,2023-01-11,53
Person10,2023-01-25,70
Person7,2023-01-13,18
Person8,2023-01-30,33
Person1,2023-01-17,40
Person10,2023-01-01,86
Person8,2023-01-16,61
Person7,2023-01-08,56
Person1,2023-01-26,32
Person5,2023-01-16,76
Person8,2023-01-26,4
Person4,2023-01-15,82
Person5,2023-01-18,30
Person5,2023-01-10,15
Person6,2023-01-19,43
Person4,2023-01-25,19
Person4,2023-01-07,12
Person5,2023-01-24,16
Person10,2023-01-21,72
Person9,2023-01-26,0
Person6,2023-01-12,7
Person8,2023-01-15,51
Person5,2023-01-10,58
Person9,2023-01-09,77
Person3,2023-01-07,8
Person8,2023-01-23,66
Person1,2023-01-27,99
Person2,2023-01-08,66
Person8,2023-01-18,68
Person4,2023-01-16,96
Person5,2023-01-03,45
Person3,2023-01-03,23
Person10,2023-01-30,12
Person5,2023-01-02,21
Person4,2023-01-18,65
Person6,2023-01-30,75
Person9,2023-01-29,38
Person2,2023-01-13,40
Person10,2023-01-22,37
Person6,2023-01-20,90
Person8,2023-01-26,20
Person6,2023-01-13,7
Person2,2023-01-06,36
Person1,2023-01-23,16
Person8,2023-01-06,48
Person1,2023-01-04,45
Person9,2023-01-06,13
Person4,2023-01-24,66
Person5,2023-01-24,48
Person3,2023-01-12,97
Person4,2023-01-04,78
Person7,2023-01-20,8
Person5,2023-01-21,66
Person3,2023-01-01,74
Person3,2023-01-01,25
Person8,2023-01-11,96
Person9,2023-01-30,17
Person2,2023-01-05,73
Person4,2023-01-16,54
Person5,2023-01-26,58
Person5,2023-01-01,42
Person4,2023-01-19,63
Person6,2023-01-07,79
Person1,2023-01-26,41
Person7,2023-01-22,42
Person4,2023-01-30,37
Person4,2023-01-19,89
Person10,2023-01-04,12
Person5,2023-01-09,96
Person6,2023-01-29,17
Person3,2023-01-05,89
Person8,2023-01-12,40
Person2,2023-01-06,38
Person7,2023-01-19,87
Person9,2023-01-03,34
Person8,2023-01-13,25
Person4,2023-01-10,11
Person10,2023-01-08,21
Person9,2023-01-10,18
Person2,2023-01-02,56
Person2,2023-01-12,70
Person10,2023-01-14,81
Person2,2023-01-08,43
Person9,2023-01-22,23
Person7,2023-01-28,54
Person7,2023-01-02,16
Person9,2023-01-16,57
Person7,2023-01-27,44
Person6,2023-01-04,32
Person1,2023-01-12,38
Person9,2023-01-26,99
Person9,2023-01-16,42
Person1,2023-01-04,87
Person9,2023-01-05,93
Person6,2023-01-23,97
Person7,2023-01-23,1
Person7,2023-01-30,93
Person7,2023-01-16,50
Person6,2023-01-01,76
Person2,2023-01-06,14
Person10,2023-01-11,32
Person3,2023-01-05,29
Person8,2023-01-13,66
Person8,2023-01-09,49
Person3,2023-01-13,100
Person9,2023-01-26,31
Person5,2023-01-18,96
Person4,2023-01-07,2
Person1,2023-01-12,57
Person6,2023-01-07,80
Person9,2023-01-28,81
Person4,2023-01-21,63
Person7,2023-01-30,31
Person6,2023-01-29,66
Person3,2023-01-26,84
Person1,2023-01-06,41
Person8,2023-01-03,48
Person8,2023-01-16,50
Person10,2023-01-14,14
Person10,2023-01-24,24
Person4,2023-01-13,17
Person2,2023-01-03,76
Person2,2023-01-15,52
Person9,2023-01-19,48
Person6,2023-01-21,4
Person7,2023-01-20,82
Person10,2023-01-28,0
Person3,2023-01-21,57
Person1,2023-01-25,45
Person6,2023-01-18,83
Person6,2023-01-23,48
Person7,2023-01-08,44
Person7,2023-01-18,53
Person5,2023-01-31,79
Person4,2023-01-18,4
Person10,2023-01-22,30
Person5,2023-01-15,55
Person2,2023-01-07,23
Person7,2023-01-09,7
Person7,2023-01-08,99
Person9,2023-01-17,99
Person8,2023-01-21,27
Person9,2023-01-08,22
Person8,2023-01-24,35
Person7,2023-01-05,36
Person7,2023-01-14,19
Person5,2023-01-25,9
Person4,2023-01-08,6
Person10,2023-01-13,96
Person4,2023-01-27,71
Person3,2023-01-07,45
Person9,2023-01-15,0
Person8,2023-01-08,27
Person2,2023-01-04,55
Person9,2023-01-24,57
Person1,2023-01-24,12
Person5,2023-01-03,78
Person7,2023-01-31,94
Person1,2023-01-20,94
Person8,2023-01-05,96
Person7,2023-01-13,4
Person7,2023-01-09,42
Person5,2023-01-31,57
Person9,2023-01-21,40
Person3,2023-01-18,63
Person6,2023-01-23,36
Person3,2023-01-20,82
Person1,2023-01-28,95
Person9,2023-01-02,40
Person3,2023-01-10,63
Person2,2023-01-27,46
Person8,2023-01-14,78
Person4,2023-01-02,39
Person1,2023-01-21,32
Person3,2023-01-26,31
Person7,2023-01-06,87
Person8,2023-01-28,55
Person1,2023-01-08,99
Person7,2023-01-09,16
Person5,2023-01-25,72
Person3,2023-01-29,83
Person3,2023-01-04,5
Person4,2023-01-12,44
Person6,2023-01-08,62
Person10,2023-01-26,34
Person6,2023-01-09,30
